revision,code_start,code_end,cancer_code
ICD-10,0,6,LIP_ORAL
ICD-10,7,8,SALIVARY
ICD-10,9,10,OROPHARYNX
ICD-10,11,11,NASOPHARYNX
ICD-10,12,13,HYPOPHARYNX
ICD-10,15,15,OESOPHAGUS
ICD-10,16,16,STOMACH
ICD-10,17,17,SMALL_INTESTINE
ICD-10,18,20,COLORECTUM
ICD-10,21,21,ANUS
ICD-10,22,22,LIVER
ICD-10,23,23,GALLBLADDER
ICD-10,25,25,PANCREAS
ICD-10,32,32,LARYNX
ICD-10,33,34,LUNG
ICD-10,40,41,BONE
ICD-10,43,43,MELANOMA
ICD-10,44,44,NMSC
ICD-10,50,50,BREAST
ICD-10,51,51,VULVA
ICD-10,52,52,VAGINA
ICD-10,53,53,CERVIX
ICD-10,54,54,CORPUS_UTERI
ICD-10,56,56,OVARY
ICD-10,60,60,PENIS
ICD-10,61,61,PROSTATE
ICD-10,62,62,TESTIS
ICD-10,64,64,KIDNEY
ICD-10,67,67,BLADDER
ICD-10,70,72,BRAIN_CNS
ICD-10,73,73,THYROID
ICD-10,74,74,ADRENAL
ICD-10,81,81,HODGKIN
ICD-10,82,86,NHL
ICD-10,88,88,MYELOMA
ICD-10,90,90,MYELOMA
ICD-10,91,95,LEUKAEMIA
ICD-10,96,96,NHL
ICD-9,140,149,LIP_ORAL
ICD-9,150,150,OESOPHAGUS
ICD-9,151,151,STOMACH
ICD-9,152,152,SMALL_INTESTINE
ICD-9,153,154,COLORECTUM
ICD-9,155,155,LIVER
ICD-9,156,156,GALLBLADDER
ICD-9,157,157,PANCREAS
ICD-9,161,161,LARYNX
ICD-9,162,162,LUNG
ICD-9,170,170,BONE
ICD-9,172,172,MELANOMA
ICD-9,173,173,NMSC
ICD-9,174,175,BREAST
ICD-9,179,179,CORPUS_UTERI
ICD-9,180,180,CERVIX
ICD-9,182,182,CORPUS_UTERI
ICD-9,183,183,OVARY
ICD-9,185,185,PROSTATE
ICD-9,186,186,TESTIS
ICD-9,188,188,BLADDER
ICD-9,189,189,KIDNEY
ICD-9,191,192,BRAIN_CNS
ICD-9,193,193,THYROID
ICD-9,200,200,NHL
ICD-9,201,201,HODGKIN
ICD-9,202,202,NHL
ICD-9,203,203,MYELOMA
ICD-9,204,208,LEUKAEMIA
ICD-8,140,149,LIP_ORAL
ICD-8,150,150,OESOPHAGUS
ICD-8,151,151,STOMACH
ICD-8,152,152,SMALL_INTESTINE
ICD-8,153,154,COLORECTUM
ICD-8,155,155,LIVER
ICD-8,156,156,GALLBLADDER
ICD-8,157,157,PANCREAS
ICD-8,161,161,LARYNX
ICD-8,162,162,LUNG
ICD-8,170,170,BONE
ICD-8,172,172,MELANOMA
ICD-8,173,173,NMSC
ICD-8,174,174,BREAST
ICD-8,180,180,CERVIX
ICD-8,182,182,CORPUS_UTERI
ICD-8,183,183,OVARY
ICD-8,185,185,PROSTATE
ICD-8,186,186,TESTIS
ICD-8,188,188,BLADDER
ICD-8,189,189,KIDNEY
ICD-8,191,192,BRAIN_CNS
ICD-8,193,193,THYROID
ICD-8,200,200,NHL
ICD-8,201,201,HODGKIN
ICD-8,202,202,NHL
ICD-8,203,203,MYELOMA
ICD-8,204,207,LEUKAEMIA
ICD-7,140,148,LIP_ORAL
ICD-7,150,150,OESOPHAGUS
ICD-7,151,151,STOMACH
ICD-7,152,152,SMALL_INTESTINE
ICD-7,153,154,COLORECTUM
ICD-7,155,155,LIVER
ICD-7,157,157,PANCREAS
ICD-7,161,161,LARYNX
ICD-7,162,163,LUNG
ICD-7,170,170,BONE
ICD-7,172,172,MELANOMA
ICD-7,173,173,NMSC
ICD-7,170,170,BREAST
ICD-7,171,171,CERVIX
ICD-7,172,172,CORPUS_UTERI
ICD-7,175,175,OVARY
ICD-7,177,177,PROSTATE
ICD-7,178,178,TESTIS
ICD-7,181,181,BLADDER
ICD-7,180,180,KIDNEY
ICD-7,193,193,BRAIN_CNS
ICD-7,194,194,THYROID
ICD-7,201,201,HODGKIN
ICD-7,200,200,NHL
ICD-7,202,202,NHL
ICD-7,203,203,MYELOMA
ICD-7,204,207,LEUKAEMIA
