site,max_break_pct,where,low_count,continuous
BLADDER,6.7,POL ICD-9->ICD-10,False,True
BONE,-31.0,USA ICD-8->ICD-9,False,False
BRAIN,-8.4,POL ICD-9->ICD-10,False,True
BREAST,-8.1,POL ICD-9->ICD-10,False,True
CERVIX,-10.9,POL ICD-9->ICD-10,False,True
COLORECTUM,-5.3,GBR ICD-9->ICD-10,False,True
LARYNX,14.4,POL ICD-8->ICD-9,False,True
LEUKAEMIA,-5.6,POL ICD-9->ICD-10,False,True
LIVER,0.0,,False,True
LUNG,6.1,POL ICD-8->ICD-9,False,True
LYMPHOMA,-7.2,USA ICD-8->ICD-9,False,True
OESOPHAGUS,-9.4,POL ICD-9->ICD-10,False,True
ORAL_PHARYNX,11.4,GBR ICD-8->ICD-9,False,True
OVARY,-4.0,ESP ICD-9->ICD-10,False,True
PANCREAS,3.4,ESP ICD-9->ICD-10,False,True
PROSTATE,5.5,POL ICD-9->ICD-10,False,True
SKIN,-12.1,ESP ICD-9->ICD-10,False,True
STOMACH,-9.4,POL ICD-9->ICD-10,False,True
TESTIS,-27.4,POL ICD-9->ICD-10,True,False
UTERUS,13.1,GBR ICD-9->ICD-10,False,True
